sample_id,tc,tn
icr054361,0.795742899,0.072139259
icr054374,1.950448632,0.134923376
icr054375,1.480911732,0.097856134
icr054387,1.657678664,0.128365897
icr054388,1.044336021,0.085148003
icr054410,3.338220239,0.250763483
icr054411,2.217995286,0.169947676
icr054418,2.627691031,0.202086277
icr054419,1.853194475,0.107585158
icr054437,3.50493598,0.257672288
icr054438,1.545450866,0.124050971
icr054456,2.095577717,0.177136496
icr054457,0.887888163,0.0893034
icr054469,3.788847685,0.281336978
icr054470,2.630529761,0.175891399
icr054482,3.810804963,0.277209282
icr054483,2.308680892,0.157658003
icr054504,7.397536516,0.584922016
icr054505,6.103767872,0.483994752
icr054515,5.956795931,0.427633569
icr054516,3.463171244,0.257140234
icr054529,3.774221182,0.288632542
icr054530,2.848274827,0.181747094
icr054550,3.549795628,0.24481146
icr054551,2.947000504,0.177302033
icr054564,2.765606761,0.1691311
icr054565,2.120405912,0.128639713
icr054585,2.997591853,0.208030902
icr054586,2.213019848,0.132537052
icr054606,2.061940908,0.153557532
icr054607,1.658754349,0.120130893
icr054618,2.6471771,0.199894726
icr054619,1.867146313,0.12507404
icr054641,3.477555037,0.22786966
icr054642,3.633283615,0.256415643
icr054656,3.113459706,0.186132163
icr054657,1.754063725,0.117425214
icr054676,2.22535491,0.144108526
icr054677,1.42686832,0.099232759
icr054697,3.590489745,0.245439149
icr054698,3.211584449,0.193241999
icr055563,1.020616859,0.051985502
icr055564,0.47002925,0.029132711
icr055583,0.76942417,0.046560703
icr055584,0.342145145,0.030116755
icr055603,0.64511171,0.042970978
icr055604,0.30089508,0.027764854
icr055623,0.608447045,0.03608042
icr055624,0.252352536,0.004288922
icr055643,0.752465993,0.046650715
icr055663,0.751927733,0.058517193
icr055664,0.327007502,0.044405572
icr055683,0.608730555,0.047491662
icr055684,0.327448577,0.024489917
icr055703,0.869479686,0.053435259
icr055704,0.373054892,0.023431994
icr055723,0.867265463,0.053418767
icr055724,0.636486441,0.035928095
icr055742,0.810151756,0.055756399
icr055743,0.518763423,0.042069674
icr055762,0.687649816,0.041764008
icr055763,0.361068577,0.025825853
icr055782,0.623432249,0.039436806
icr055783,0.300285399,0.009449405
icr055802,0.660930842,0.024911451
icr055803,0.296570137,0.020026742
icr055822,1.637139976,0.085805841
icr055823,0.656039298,0.038766216
icr055842,0.530629009,0.013987189
icr055862,0.53837806,0.043052901
icr055863,0.245998897,0.011403766
icr055882,0.751189083,0.048286702
icr055883,0.503216237,0.036064589
icr055902,0.914812237,0.056977354
icr055903,0.55129236,0.037933832
icr055922,0.943135172,0.064556632
icr055923,0.638993621,0.037295131
icr055941,1.065802038,0.067958187
icr055942,0.700841963,0.04481804
icr055961,1.449578464,0.087336641
icr055962,0.637432247,0.041968627
icr055981,0.622196853,0.054842044
icr055982,0.34560506,0.040913748
icr056001,1.165851176,0.057641516
icr056002,0.914957523,0.047268985
icr056021,1.140794039,0.061504576
icr056022,0.4012447,0.030926523
icr056041,1.552500069,0.100340761
icr056042,1.050675213,0.06780884
icr056061,1.501894355,0.089137133
icr056062,0.848184764,0.042980589
icr056082,0.486433074,0.026477913
icr056101,0.855621904,0.04603447
icr056102,0.452261925,0.023820567
icr056121,1.137732923,0.053833328
icr056122,0.799019694,0.040330963
icr056141,0.844134688,0.043781396
icr056142,0.455036595,0.025293885
icr056161,0.748431593,0.03866929
icr056162,0.50090678,0.027138772
icr056181,1.206950009,0.066816278
icr056182,0.928824395,0.055556701
icr056200,2.916346669,0.237364888
icr056201,1.703785837,0.136937961
icr056220,0.592304081,0.034128755
icr056221,0.208808683,0.035125174
icr056240,0.818547994,0.054147359
icr056241,0.357779697,0.038069431
icr056260,0.957987249,0.073104244
icr056261,0.504172757,0.040924678
icr056280,0.803156763,0.082538851
icr056281,0.379298955,0.046814756
icr056300,0.588454664,0.058519872
icr056301,0.222818866,0.021329139
icr056320,1.316723943,0.088981956
icr056321,0.608478576,0.029340208
icr056340,1.196306586,0.069839608
icr056341,0.75998053,0.049996473
icr056360,2.802286506,0.180696197
icr056361,1.097130299,0.062598318
icr056380,1.095273018,0.076565079
icr056381,0.47071372,0.041905863
icr056400,1.949271083,0.083320577
icr056401,0.554942429,0.016544365
icr056420,1.468167961,0.084590416
icr056421,0.772870272,0.045988129
icr056440,0.788577437,0.046190957
icr056441,0.239189573,0.029745997
icr056460,7.64950943,0.236573085
icr056461,5.52449584,0.146670692
icr056480,1.15000546,0.067784563
icr056481,0.716821492,0.043629671
icr056500,0.539603323,0.033238562
icr056501,0.231864378,0.011352517
icr062134,1.940179646,0.181935228
icr062135,1.523363113,0.141519412
icr062155,2.682803392,0.186543919
icr062156,1.481554687,0.114982054
icr062175,4.980433464,0.290879428
icr062176,3.13933146,0.203787394
icr062195,4.350743294,0.26713372
icr062196,2.03012687,0.128082965
icr062215,3.768460989,0.279108137
icr062216,3.260589719,0.222583055
icr062237,2.793198228,0.231625609
icr062238,1.843717396,0.161867052
icr062255,4.578386784,0.260059386
icr062256,5.402150631,0.341489181
icr062275,3.14008069,0.277194545
icr062276,1.496088862,0.120282803
icr062294,3.287669301,0.201543063
icr062295,2.39486897,0.144177198
icr062314,3.610592842,0.275882646
icr062315,2.3911587,0.170265414
icr062334,2.643334508,0.214864552
icr062335,1.299892366,0.105681881
icr062353,2.910860062,0.240919754
icr062354,1.379716039,0.103629045
icr062373,3.111735344,0.235977829
icr062374,1.715209186,0.114755739
icr062395,4.646769524,0.346181303
icr062396,1.90667814,0.144693471
icr062413,1.632762432,0.127215691
icr062414,2.435610533,0.188178435
icr062433,5.21876955,0.418471277
icr062434,2.277008533,0.185139462
icr068101,0.094848178,0.016578395
icr068102,0.08429971,0.014709854
icr068131,0.151317835,0.010379941
icr068132,0.119496867,0.010864885
icr068149,0.134010263,0.008388803
icr068150,0.11795501,0.009245373
icr068161,0.349008486,0.025136971
icr068162,0.340395167,0.023616099
icr068181,0.292775601,0.023191282
icr068182,0.228605993,0.018254097
icr068199,0.147161581,0.027022606
icr068200,0.165866815,0.01981367
icr068221,0.176689059,0.013913388
icr068222,0.112157483,0.008959612
icr068239,0.26521951,0.019789255
icr068240,0.277633607,0.020327488
icr068265,0.233318478,0.016521143
icr068266,0.17732013,0.012601696
icr068279,0.313391685,0.024002047
icr068280,0.365245596,0.026120152
icr068301,0.374827221,0.026839695
icr068302,0.324715957,0.017584287
icr068321,0.508665159,0.042950079
icr068322,0.559137672,0.044978254
icr068339,0.213278808,0.013264981
icr068340,0.185622372,0.011177716
icr068361,0.331797153,0.02341965
icr068362,0.302536994,0.022045285
icr068381,0.247502804,0.017503496
icr068382,0.237099007,0.015777798
icr068399,0.439353794,0.030773186
icr068400,0.324175134,0.021226877
icr068419,0.555135638,0.040439157
icr068420,0.343026295,0.029255353
icr068439,0.533848047,0.043338478
icr068440,0.33907479,0.040451139
icr068459,0.517498255,0.035497019
icr068460,0.305002958,0.022232221
icr068481,0.305162981,0.019929951
icr068482,0.518480659,0.036163643
icr068499,0.996051252,0.074917074
icr068500,0.267853886,0.023904
icr068521,0.399004593,0.032892414
icr068522,0.312148049,0.019454177
icr068539,0.901337028,0.08464393
icr068540,0.459303811,0.043382159000000003
