sample_id,tc,tn
icr023533,5.16303509,0.29823254
icr023534,3.0856375400000005,0.20501235
icr023553,5.059845750000001,0.37271729000000003
icr023554,2.83680573,0.21113157
icr023573,6.84687763,0.43850411
icr023574,5.39638579,0.32626533999999996
icr023593,9.6573025,0.59525933
icr023594,5.522737800000001,0.35150712
icr023613,4.95683193,0.30744868000000003
icr023614,2.77168557,0.19083789
icr023633,8.01552653,0.46489704
icr023634,5.77849835,0.35396505
icr023652,15.023251769999998,1.1326525699999999
icr023653,8.56454372,0.6471388
icr023672,5.46519041,0.39640037000000006
icr023673,3.6116957700000003,0.30104752
icr023692,8.727113899999999,0.57288764
icr023693,3.54776457,0.25244157
icr023712,66.56471729,4.55425501
icr023713,47.02197075,2.83716261
icr023731,6.43968642,0.46643881
icr023732,3.62648129,0.30603115000000003
icr024868,7.67510474,0.35629999
icr024869,4.0978930899999995,0.12791113999999998
icr024879,6.3601169,0.36460425999999996
icr024880,5.36592185,0.22373023999999997
icr024899,8.0939889,0.52298442
icr024900,4.60068613,0.2086671
icr024917,4.55203906,0.23302254
icr024918,1.3585407299999999,0.07799921
icr024937,6.8660914900000005,0.31477258
icr024938,3.1203572499999996,0.09283902999999999
icr024956,5.46098679,0.25405541
icr024957,3.3033067,0.09836202000000001
icr024976,6.0642451,0.29006049
icr024977,2.52464712,0.12681007
icr024994,5.91400385,0.25078967
icr024995,2.81927869,0.11747103
icr025009,2.61977181,0.09654638
icr025010,4.7828716,0.16949764
icr025016,5.43635875,0.42223085
icr025017,3.07298779,0.25120091
icr025036,6.50458187,0.39954551
icr025037,3.1801520300000004,0.21903615
icr025055,6.611048579999999,0.39752740000000003
icr025056,2.22564332,0.17345479
icr025074,7.81006128,0.44531953
icr025075,4.05403778,0.21189016000000002
icr025092,6.14075541,0.32175113
icr025093,2.7953410099999996,0.12669286
icr025111,6.39358938,0.29446408
icr025112,3.1321847400000005,0.0939915
icr025135,12.90501952,0.5238303200000001
icr025136,9.56757396,0.31844445
icr030024,64.90470886,4.15241823
icr030025,40.40075541,2.80813366
icr030043,65.65240383,3.60293552
icr030044,46.47514582,2.67748579
icr030063,80.72318792000002,4.730964
icr030064,51.559827330000005,3.1901617300000003
icr030083,70.72728395,3.8882005200000003
icr030084,47.89073229,2.5512070999999996
icr030103,23.25729132,1.62919685
icr030104,10.28832495,0.74719325
icr030123,16.98055744,1.2656913699999999
icr030124,11.45346403,0.76201491
icr030143,36.22333288,2.30490178
icr030144,25.006721019999997,1.5915739500000001
icr030163,43.34142208,2.2099223
icr030164,19.98482704,1.14288837
icr030183,24.80116367,1.6328980800000001
icr030184,25.38925052,1.39337771
icr030200,49.573326109999996,2.48900414
icr030201,70.88877916,3.7865968
icr030218,27.39890337,1.89911716
icr030219,16.41940594,1.28445871
icr030238,57.354109290000004,3.29080537
icr030239,37.26453066,2.28429206
icr030258,16.70336664,1.18790474
icr030259,12.95762181,0.9196396499999999
icr030276,24.02908325,1.7761318400000001
icr030277,15.47038198,1.2298999
icr030296,38.94529104,2.11671509
icr030297,29.723818299999998,1.64330445
icr030316,18.51151884,1.3699919699999998
icr030317,15.299300549999998,1.13458868
icr030335,48.117675780000006,2.55379505
icr030336,43.38459253,1.90677531
icr030352,78.21618557,2.68838227
icr030353,80.06017446999999,2.02084929
icr030367,54.509248729999996,1.51618525
icr030368,58.82180691000001,0.7216043799999999
icr030376,112.8760099,1.5465468199999999
icr030377,111.87142850000001,0.87726288
icr030387,45.55548668,2.03549646
icr030388,44.54511642,1.73539303
icr030400,43.11509371,1.8053217199999998
icr030401,44.97810841,1.66418232
icr030416,75.2807045,3.35967973
icr030430,65.25802612,2.65947506
icr030431,61.0122633,2.22194128
icr030438,36.06320262,1.55485839
icr030439,37.01286554,1.24955345
icr030458,37.844121460000004,1.61200099
icr030459,39.26025391,1.8485738299999999
icr030478,55.7354784,2.5308544900000003
icr030479,58.97491455,2.50723563
icr030494,40.180827380000004,1.9143862999999999
icr030495,39.529757499999995,1.4046455199999999
icr030511,63.146893979999994,4.0686610299999995
icr030512,66.55375242,3.92486095
icr030531,36.77148342,1.5022745000000002
icr030532,106.6486788,6.58916563
icr030551,39.64584112,1.8474861200000001
icr030552,41.73400879,1.46560051
icr030571,41.47195578,1.2885034100000001
icr030572,38.40419769,1.03430118
icr033351,8.733768170000001,0.43403458
icr033352,7.72801131,0.42616157
icr033371,9.11325723,0.66057192
icr033372,9.19934213,0.49561489000000003
icr033389,11.210378409999999,0.5042512
icr033390,10.169373749999998,0.37560349
icr033392,8.07540625,0.28872634
icr033393,13.794661159999999,0.252708
icr033407,6.072914900000001,0.32588612000000006
icr033408,5.41830122,0.25107918
icr033427,10.02572089,0.38040478
icr033428,7.037008999999999,0.24937510999999998
icr033445,11.42026067,0.48455125
icr033446,11.280604,0.29767556
icr033447,17.36322522,1.83248803
icr033448,12.37903118,0.9672697600000001
icr033466,5.49817294,0.16633314999999999
icr033467,5.7561355800000005,0.15708133999999999
icr033486,8.23912203,0.39203862
icr033487,7.27858126,0.30448532
icr033506,5.6783101,0.49440257
icr033507,4.58143473,0.38771054
icr033525,3.52569848,0.20935324000000002
icr033526,2.7072542900000003,0.14976889999999998
icr033545,7.926949260000001,0.50540712
icr033546,7.826465369999999,0.36796005
icr033566,2.4615787,0.22203284
icr033567,3.4534226400000003,0.36026107
icr033580,30.52983999,2.0726112999999997
icr033581,18.94382358,1.0434369000000001
icr033582,15.55257857,1.4140066500000001
icr033583,9.93176252,0.78642868
icr033602,21.359515189999996,1.32665694
icr033603,19.174100160000002,0.99935502
icr033621,16.82514191,0.7932518099999999
icr033622,21.63621306,1.04304459
icr033637,20.077196960000002,1.70862764
icr033638,20.475549700000002,0.9727188600000001
icr033656,14.8993063,1.12637527
icr033657,16.87480092,0.8896276000000001
icr033676,23.10187459,1.5735609799999999
icr033677,23.51177454,1.0007377000000002
icr033696,24.779453280000002,1.53896496
icr033697,21.75888777,1.13917213
icr033714,11.935191750000001,0.96571751
icr033715,14.72331226,0.7492106399999999
icr033732,21.98821187,0.88883013
icr033733,19.21050012,0.64316541
icr033752,18.09759498,1.3973473
icr033753,20.63904881,1.2991063299999999
icr033771,13.041644100000001,1.30230285
icr033772,11.90884888,1.00691907
icr033791,16.88690364,1.52637213
icr033792,26.94911957,1.13707267
icr033811,12.976772190000002,0.8684315200000001
icr033812,13.540226220000001,0.64728808
icr033831,32.890931370000004,1.6482627399999998
icr033832,32.11008191,1.2215158700000002
icr033851,16.3399744,1.3651812799999998
icr033852,15.50275087,0.8816918
icr033871,32.90864944,1.2807653799999998
icr033872,28.58213305,1.48869768
icr033890,20.76282501,1.31688826
icr033891,24.000260830000002,0.8813690000000001
icr033910,6.888610120000001,0.38340531
icr033911,2.73919776,0.14164713
icr033930,4.828770909999999,0.23445441
icr033931,2.6056891700000002,0.15167639
icr033950,13.22116256,0.79440974
icr033951,8.84833544,0.52861335
icr033970,7.29228944,0.32599691
icr033971,3.64126936,0.2016822
icr033990,6.867566109999999,0.33430664
icr033991,2.9348731,0.16860875
icr034010,6.0292997999999995,0.4253131
icr034011,2.5114751600000003,0.10610081
icr034030,6.01022869,0.31732609
icr034031,2.34040685,0.12871893
icr034050,7.39250481,0.39373236
icr034051,6.65530652,0.30867629
icr034070,6.84876084,0.32187964999999996
icr034071,3.11534449,0.13901279
icr034090,6.21397108,0.27343366
icr034091,4.30723205,0.30596029
icr034110,4.33712453,0.31265778
icr034111,2.51296543,0.25704108
icr034130,6.29238188,0.48103938
icr034131,3.17684337,0.28066123
icr034150,6.7026922099999995,0.46462515000000004
icr034151,2.29163744,0.20044493
icr034170,6.15287453,0.43368464
icr034171,2.99290359,0.24205638000000002
icr034190,5.67299098,0.49627342999999996
icr034191,5.792098340000001,0.44943418
icr034210,5.552772580000001,0.48223061
icr034211,3.5872151000000003,0.35525823
icr034262,10.012088720000001,0.57201281
icr034263,8.93604547,0.52472841
icr034282,6.4336735,0.43173332000000003
icr034283,5.2315473599999995,0.34025476
icr034302,6.01481229,0.41122155
icr034303,4.84522179,0.30489784999999997
icr034322,5.55922061,0.25657377
icr034323,4.20495674,0.20687097000000002
icr034342,8.2161054,0.42063871
icr034343,4.56397936,0.25394688
icr034362,10.25771081,0.6594358
icr034363,7.84101069,0.52315054
icr034382,4.127957970000001,0.268046
icr034383,2.553064,0.16366797
icr034402,8.8913554,0.59970694
icr034403,3.08546394,0.22489849
icr034422,4.36431304,0.32831345
icr034423,3.24584603,0.19696972000000001
icr034441,7.152158320000001,0.40153991
icr034442,6.60631955,0.33738908999999995
icr034461,5.31511158,0.30744121
icr034462,2.91970506,0.16369144
icr034481,2.15141967,0.13161818
icr034482,4.08914223,0.23411774
icr034501,8.29687625,0.49558111000000005
icr034502,6.351428930000001,0.37060961000000003
icr034521,2.9857403,0.17699854
icr034522,1.10230226,0.10888309
icr034541,6.06698453,0.39601587
icr034542,3.69240344,0.24778987
icr034561,5.2131089600000005,0.34243007999999997
icr034562,3.51269051,0.28280395999999997
icr034613,20.29169321,1.92335032
icr034614,14.75022018,1.17951464
icr034633,22.55577803,1.66154668
icr034634,14.379972219999999,1.1151519
icr034653,15.80211341,1.36482447
icr034654,9.41064298,0.70089869
icr034673,15.53992689,1.32848166
icr034674,8.8104707,0.5576260000000001
icr034693,25.056015249999998,1.8348913599999999
icr034694,15.78269005,1.03942674
icr034713,21.57778859,1.85278937
icr034714,14.56734419,1.07717227
icr034733,19.33140993,1.21172886
icr034734,9.693096279999999,0.6690008599999999
icr034753,17.59920478,1.25396207
icr034754,10.90313613,0.78845132
icr034773,13.351579309999998,0.95682893
icr034774,19.677262900000002,1.5244710399999999
icr034793,36.59131765,2.8840763899999997
icr034794,27.784808870000003,2.15611689
icr034813,24.129016399999998,2.00382896
icr034814,17.219293710000002,1.47845015
icr034833,28.45188141,2.53359914
icr034834,16.89888656,1.3647305200000002
icr034853,20.49376607,1.66352741
icr034854,15.32562137,1.24529626
icr034873,31.74811244,2.63849378
icr034874,30.01365304,2.50755012
icr034893,17.99481094,1.57211632
icr034894,9.13504183,0.8291309
icr034913,21.75125837,1.3418920300000001
icr034914,14.33300912,0.8085550399999999
icr037417,5.81492275,0.34811644
icr037418,3.72678712,0.24753653
icr037445,3.69164705,0.26865819
icr037446,3.7685361499999996,0.26555899
icr037453,8.793245259999999,0.58692222
icr037454,4.82158244,0.39762326000000003
icr037475,1.95317984,0.14385620999999998
icr037476,1.46599829,0.10757764
icr037491,5.71006149,0.40473523999999994
icr037492,4.76452231,0.38577499000000004
icr037511,5.3025680799999995,0.33910727
icr037512,3.65755424,0.20974123
icr037531,2.5524091700000002,0.15926249
icr037532,2.03872114,0.14393869
icr037553,2.27963813,0.13646203
icr037554,1.79054528,0.122962
icr037574,4.55995217,0.2820667
icr037575,2.4387051200000003,0.16099131
icr037590,11.394302849999999,0.74329812
icr037591,7.32726336,0.43508586000000005
icr037620,2.87060037,0.19215915
icr037621,2.59944171,0.18007715000000002
icr037626,3.3648525200000003,0.22547113000000002
icr037627,2.73907408,0.18355841
icr037646,7.019827960000001,0.45007866
icr037647,6.2111768099999995,0.40296219
icr037675,13.961282370000001,1.02608897
icr037676,11.052904130000002,0.90444937
icr037689,13.92724574,0.69588598
icr037690,13.56031179,0.73345967
icr037699,5.8743611,0.43578476
icr037700,3.00984666,0.27323739
icr037755,38.65121841,2.79780507
icr037756,23.51177812,1.45560212
icr037767,17.12556601,1.37868494
icr037768,12.19602227,0.84936451
icr037787,16.66530907,1.3189830599999999
icr037788,9.80415344,0.74760102
icr037807,21.86564088,1.6929812
icr037808,13.94638777,1.11562859
icr037843,20.41822433,1.52175538
icr037844,15.3479743,1.02993816
icr037851,17.00249076,1.30142413
icr037852,13.14326167,0.98274693
icr037869,29.49818492,2.0687253
icr037870,20.52051187,1.41446151
icr037901,25.32580018,1.893171
icr037902,12.95966685,0.8811197799999999
icr037907,29.45891142,2.08603293
icr037908,18.94767463,1.4913072399999998
icr037927,31.22191429,2.6577938299999997
icr037928,15.39687455,1.20770521
icr037947,9.68021959,0.55112755
icr037948,4.98181105,0.28587415
icr037969,10.30995965,0.62113026
icr037970,4.71279129,0.25338838999999996
icr037986,38.67396712,2.58816928
icr037987,28.99683714,1.5774522699999998
icr038016,12.8379631,0.9730101
icr038017,19.11948383,1.42552301
icr038034,33.34922075,2.1115251600000002
icr038035,22.06098318,1.3005392299999998
icr038056,14.888381959999998,0.86001962
icr038057,16.44650817,1.04740608
icr038106,10.29022455,1.01146612
icr038107,10.374350549999999,0.79096418
icr038118,9.18853551,0.80008097
icr038119,5.494002399999999,0.36388595
icr038138,18.11376631,1.5781123899999998
icr038139,23.98762703,1.9803976300000001
icr038154,16.19362414,1.4082708999999998
icr038155,18.63375664,1.50959201
icr038170,14.97230172,0.94254106
icr038171,12.283729910000002,0.74072976
icr038189,24.51663136,1.93139784
icr038190,12.15036929,0.9995981700000001
icr038216,17.74717689,1.62383787
icr038234,25.78316331,2.05357701
icr038235,25.83024263,2.11227775
icr038251,38.53252172,2.8578907300000003
icr038252,20.315415859999998,1.53290667
icr038273,19.64339614,1.4339380700000002
icr038274,3.04397449,0.19515198
icr038289,19.81245518,1.44684613
icr038290,20.112165809999997,1.4929213399999999
icr038305,5.57401508,0.49174867999999994
icr038306,4.92393568,0.37094232
icr038312,33.95834088,2.4337039099999997
icr038313,24.540344479999998,1.7885485300000001
icr038331,18.12706769,1.16924517
icr038332,16.77384615,1.17362071
icr038351,13.472828269999999,1.08755812
icr038352,13.848348260000002,1.05419643
icr038368,23.64577889,1.75227948
icr038369,18.40247214,1.3526543199999999
icr041641,7.2531113000000005,0.58323581
icr041642,8.78599584,0.42428641
icr041659,6.89725548,0.51478259
icr041660,5.02007559,0.39346041
icr041679,6.05225861,0.5080479
icr041680,4.86081332,0.44938561
icr041699,5.5904609,0.5060195399999999
icr041700,3.21493775,0.28703497
icr041719,7.42013931,0.53458383
icr041720,8.239529730000001,0.36104316
icr041739,7.78190672,0.48200951999999997
icr041740,10.810426470000001,0.43456997999999997
icr041759,5.15667379,0.43795748
icr041760,4.33193192,0.40192943000000003
icr041779,7.18486547,0.49566628
icr041780,3.77240494,0.36499701
icr041799,4.57294464,0.32222623
icr041800,4.06903535,0.27005621
icr041819,5.86002171,0.41642699
icr041820,5.91841698,0.30904605
icr041838,9.89831418,0.5592522
icr041839,10.0735268,0.56418408
icr041858,5.3965577499999995,0.4204827
icr041859,6.44996017,0.27424865
icr041878,13.433747890000001,0.89835379
icr041879,18.09822023,0.6712202700000001
icr041898,5.197466309999999,0.41874347
icr041899,2.90949598,0.36764933
icr041915,5.99121004,0.48857583000000004
icr041916,4.6270287,0.41544539999999996
icr041935,7.23683327,0.6516725800000001
icr041936,5.9137976199999995,0.53121032
icr041987,47.23329306,3.9677862800000003
icr041988,26.108539099999998,2.20187664
icr042004,15.193337200000002,0.92773795
icr042005,12.832371590000001,0.70186187
icr042024,15.55713832,1.2442996000000002
icr042025,10.89855313,0.9882576799999999
icr042048,16.92338526,1.40340663
icr042049,15.13270855,1.14952501
icr042062,20.91330528,1.34163313
icr042063,15.88400781,0.96520331
icr042078,13.42630446,1.1187240900000002
icr042079,9.18966949,0.66984054
icr042098,9.52319741,0.71790837
icr042099,8.63986731,0.63763693
